DATAFLOW,LAST UPDATE,freq,unit,mot_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2014,378053,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2015,403630,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2016,435613,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2017,417426,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2018,460027,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2019,499590,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2020,539497,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2021,593280,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2022,639379,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AL,2023,699337,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2014,4694921,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2015,4748048,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2016,4821557,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2017,4898578,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2018,4978852,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2019,5039548,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2020,5091827,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2021,5133836,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2022,5150890,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,AT,2023,5185006,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2014,799891,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2015,827224,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2016,859975,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2017,882999,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2018,919226,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2019,939283,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2020,936417,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2021,983077,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2022,1006142,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BA,2023,1044950,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2014,5584690,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2015,5662059,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2016,5731292,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2017,5798939,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2018,5848425,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2019,5881874,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2020,5897488,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2021,5926009,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2022,5955127,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BE,2023,6047551,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2014,3013863,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2015,3162037,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2016,3143568,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2017,2770615,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2018,2773325,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2019,2829946,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2020,2866763,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2021,2830464,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2022,2896777,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,BG,2023,3006215,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2014,4431886,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2015,4508898,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2016,4578963,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2017,4630054,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2018,4666278,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2019,4692741,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2020,4733517,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2021,4793803,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2022,4812896,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CH,2023,4861544,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2014,478492,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2015,487692,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2016,508284,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2017,526617,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2018,550695,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2019,572501,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2020,578158,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2021,592156,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2022,601131,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CY,2023,621116,s
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2014,4833386,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2015,5115316,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2016,5307808,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2017,5538222,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2018,5747913,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2019,5924995,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2020,6049255,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2021,6088730,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2022,6305934,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,CZ,2023,6512774,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2014,44403000,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2015,45071000,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2016,45803560,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2017,46474594,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2018,47095784,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2019,47715977,
ESTAT:ROAD_EQS_CARPDA(1.0),26/08/24 23:00:00,A,NR,TOTAL,DE,2020,48248584,
