DATAFLOW,LAST UPDATE,freq,airpol,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1990,8.9,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1991,8.4,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1992,8.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1993,7.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1994,8.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1995,7.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1996,8.3,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1997,7.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1998,8.1,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,1999,7.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2000,8.5,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2001,7.1,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2002,9.3,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2003,9.6,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2004,8.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2005,9.3,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2006,10.1,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2007,10.2,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2008,9.3,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2009,8.9,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2010,8.1,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2011,8.3,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2012,9.1,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2013,9.0,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2014,8.4,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2015,8.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2016,8.6,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2017,9.3,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2018,9.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2019,9.6,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2020,7.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2021,7.5,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,AT,2022,7.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1990,14.7,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1991,14.9,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1992,14.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1993,14.6,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1994,15.0,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1995,15.2,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1996,15.6,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1997,14.8,
ESTAT:SDG_13_10(1.0),05/09/24 23:00:00,A,GHG,TOTXMEMONIA,T_HAB,BE,1998,15.2,
